categorias,direccion,nombre,precio,score
Excellent,"2,954, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,2,954, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,Name/address in local language",Hotel Cabana del Lago,,4.5
Very good,"1,925, reviews,6101 West Century Boulevard, Los Angeles, CA 90045,1,925, reviews,6101 West Century Boulevard, Los Angeles, CA 90045",Sheraton Gateway Los Angeles Hotel,,4.0
Excellent,"202, reviews,66 Brush Creek Ranch Rd, Saratoga, WY 82331-9726,202, reviews,66 Brush Creek Ranch Rd, Saratoga, WY 82331-9726",The Lodge & Spa at Brush Creek Ranch,,5.0
Very good,"43, reviews,Cetate 207190 Romania,43, reviews,Cetate 207190 Romania",Port Cultural Cetate,,3.5
Very good,"621, reviews,2617 Killington Rd, Killington, VT 05751-9747,621, reviews,2617 Killington Rd, Killington, VT 05751-9747","Killington Mountain Lodge, Tapestry Collection by Hilton",,3.5
Excellent,"793, reviews,8180 N Shadeland Ave, Indianapolis, IN 46250-2045,793, reviews,8180 N Shadeland Ave, Indianapolis, IN 46250-2045",Drury Inn & Suites Indianapolis Northeast,,4.5
Very good,"23, reviews,Patiswara, Jhor VDC, Kathmandu 44600 Nepal,23, reviews,Patiswara, Jhor VDC, Kathmandu 44600 Nepal",Shivapuri Village,,3.5
Very good,"451, reviews,Gerani, Crete 73014 Greece,451, reviews,Gerani, Crete 73014 Greece,Name/address in local language",Caldera Beach,,4.0
Very good,"6,758, reviews,55 Church Street, New York City, NY 10007,6,758, reviews,55 Church Street, New York City, NY 10007",Millennium Downtown New York,,4.0
Very good,"1,238, reviews,4200 Taylor St, San Diego, CA 92110-2741,1,238, reviews,4200 Taylor St, San Diego, CA 92110-2741",Hilton Garden Inn San Diego Old Town / SeaWorld Area,,4.0
Very good,"480, reviews,Abdelhamid El Kadhi Avenue La Corniche, Sousse 4000 Tunisia,480, reviews,Abdelhamid El Kadhi Avenue La Corniche, Sousse 4000 Tunisia",Sousse Pearl Marriott Resort & Spa,,4.0
Average,"16, reviews,2337 S International Pkwy, Dallas, TX 75261,16, reviews,2337 S International Pkwy, Dallas, TX 75261",Minute Suites,,3.0
Very good,"625, reviews,3121 West Gate City Boulevard, Greensboro, NC 27407-4615,625, reviews,3121 West Gate City Boulevard, Greensboro, NC 27407-4615",Sheraton Greensboro at Four Seasons,,4.0
Excellent,"42, reviews,62005 County Road 48, Greenport, NY 11944,42, reviews,62005 County Road 48, Greenport, NY 11944",Hotel Moraine,,5.0
